"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"323114065855672321","323113215988994050","936437276","","","2013-04-13 16:42:51 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@derGeruhn Ich wollt gleich noch ne Runde los und schaun das ich mal auf Level 4 komm. Willst du mit oder bist du schon verplant?"
"323110921033633793","323090896449052673","936437276","","","2013-04-13 16:30:21 +0000","web","@derGeruhn Wie weit bist du den L2 oder schon L3?"
"322703679868260352","","48294441","","","2013-04-12 13:32:07 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@Ik4ru5 RT""@johl: Okay, I laughed: http://t.co/ZMbF1QQ7eK""","http://i.imgur.com/oWkHvar.gif"
"322678642964561920","","","322543488812085248","47211120","2013-04-12 11:52:38 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @CaffSec: #Security #Protip: Change your default passwords...or this will happen. http://t.co/Cpc285bhCs","http://twitter.com/MichaelGrant_/status/322404028829007872/photo/1"
"321002008268136450","","48294441","","","2013-04-07 20:50:17 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@Ik4ru5 Nachtisch! http://t.co/tY2YZgM3tS","http://twitter.com/nicidienase/status/321002008268136450/photo/1"
"320967779190714369","320964652962021376","27639193","","","2013-04-07 18:34:16 +0000","<a href=""http://hotot.org"" rel=""nofollow"">Hotot</a>","@entropiagpn Gibts schon nen Graph mit den Anmeldungen? ;)"
"320965533870723072","","","320961774205685760","27639193","2013-04-07 18:25:21 +0000","<a href=""http://hotot.org"" rel=""nofollow"">Hotot</a>","RT @entropiagpn: Noch etwas ungeschminkt, aber endlich da: Der CfP zur #GPN13! Ihr könnt euch anmelden – oder noch besser, mitmachen! ht ..."
"320162426211418113","","","320154843576676352","194108210","2013-04-05 13:14:05 +0000","<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","RT @makefoo: Is HTML a programming language? http://t.co/kWsIWSGKvU","http://web.media.mit.edu/~pliam/res/blog_1.html"
"319942573441560576","319928865344602113","140774041","","","2013-04-04 22:40:28 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@MamsellChaos Ich fand die Episoden mit den Walen auch beeindruckend. Tolle Serie auf jeden Fall!"
"319940266360442880","319906788109606913","14804411","","","2013-04-04 22:31:18 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@PylonC Hatte ich während dem Easterhegg vorgeschlagen. Aber es hatte sich niemand gefunden der mitschaun wollte."
"319827412978368515","319793156893839361","78735610","","","2013-04-04 15:02:52 +0000","<a href=""http://hotot.org"" rel=""nofollow"">Hotot</a>","@ajaegle heißen die Vortragsräume auf der bedcon eigentlich bedrooms?"
"319792271027482624","319780493476364288","78735610","","","2013-04-04 12:43:13 +0000","<a href=""http://hotot.org"" rel=""nofollow"">Hotot</a>","@ajaegle #bedcon klingt gemütlich."
